Sample,Sample.ogg, 1, 250, 1, 1400, 353;
1, 1, 1, 0, 9, 1, 0, 0;
2, 1, 1, 0, 9, 3, 0, 0;
3, 1, 2, 0, 10, 1, 0, 0;
4, 1, 2, 0, 10, 3, 0, 0;
5, 1, 3, 0, 11, 1, 0, 0;
6, 1, 3, 0, 11, 3, 0, 0;
7, 1, 4, 0, 12, 1, 0, 0;
8, 1, 4, 0, 12, 3, 0, 0;
9, 1, 1, 0, 13, 1, 0, 0;
10, 1, 1, 0, 13, 3, 0, 0;
11, 1, 2, 0, 14, 1, 0, 0;
12, 1, 2, 0, 14, 3, 0, 0;
13, 1, 3, 0, 15, 1, 0, 0;
14, 1, 3, 0, 15, 3, 0, 0;
15, 1, 5, 0, 16, 1, 0, 0;
16, 1, 6, 0, 16, 2, 0, 0;
17, 1, 5, 0, 16, 3, 0, 0;
18, 1, 6, 0, 16, 4, 0, 0;
19, 1, 1, 0, 17, 1, 0, 0;
20, 1, 2, 0, 17, 3, 0, 0;
21, 1, 1, 0, 18, 1, 0, 0;
22, 1, 2, 0, 18, 3, 0, 0;
23, 1, 1, 0, 19, 1, 0, 0;
24, 1, 2, 0, 19, 3, 0, 0;
25, 1, 1, 0, 20, 1, 0, 0;
26, 1, 2, 0, 20, 3, 0, 0;
27, 1, 3, 0, 21, 1, 0, 0;
28, 1, 4, 0, 21, 3, 0, 0;
29, 1, 3, 0, 22, 1, 0, 0;
30, 1, 4, 0, 22, 3, 0, 0;
31, 1, 3, 0, 23, 1, 0, 0;
32, 1, 4, 0, 23, 3, 0, 0;
33, 1, 5, 0, 24, 1, 0, 0;
34, 1, 6, 0, 24, 2, 0, 0;
35, 1, 5, 0, 24, 3, 0, 0;
36, 1, 1, 0, 25, 1, 0, 0;
37, 1, 1, 0, 25, 3, 0, 0;
38, 1, 2, 0, 26, 1, 0, 0;
39, 1, 2, 0, 26, 3, 0, 0;
40, 1, 3, 0, 27, 1, 0, 0;
41, 1, 3, 0, 27, 3, 0, 0;
42, 1, 4, 0, 28, 1, 0, 0;
43, 1, 4, 0, 28, 3, 0, 0;
44, 1, 5, 0, 29, 1, 0, 0;
45, 1, 5, 0, 29, 3, 0, 0;
46, 1, 6, 0, 30, 1, 0, 0;
47, 1, 6, 0, 30, 3, 0, 0;
48, 1, 1, 0, 31, 1, 0, 0;
49, 1, 1, 0, 31, 3, 0, 0;
50, 1, 2, 0, 32, 1, 0, 0;
51, 1, 2, 0, 32, 3, 0, 0;
52, 1, 3, 0, 33, 1, 0, 0;
53, 1, 3, 0, 33, 3, 0, 0;
54, 1, 4, 0, 34, 1, 0, 0;
55, 1, 4, 0, 34, 3, 0, 0;
56, 1, 5, 0, 35, 1, 0, 0;
57, 1, 5, 0, 35, 3, 0, 0;
58, 1, 6, 0, 36, 1, 0, 0;
59, 1, 6, 0, 36, 3, 0, 0;
60, 1, 1, 0, 37, 1, 0, 0;
61, 1, 2, 0, 37, 3, 0, 0;
62, 1, 1, 0, 38, 1, 0, 0;
63, 1, 2, 0, 38, 3, 0, 0;
64, 1, 1, 0, 39, 1, 0, 0;
65, 1, 2, 0, 39, 3, 0, 0;
66, 1, 1, 0, 40, 1, 0, 0;
67, 1, 2, 0, 40, 3, 0, 0;
68, 1, 1, 0, 41, 1, 0, 0;
69, 1, 1, 0, 41, 3, 0, 0;
70, 1, 2, 0, 42, 1, 0, 0;
71, 1, 2, 0, 42, 3, 0, 0;
72, 1, 3, 0, 43, 1, 0, 0;
73, 1, 3, 0, 43, 3, 0, 0;
74, 1, 4, 0, 44, 1, 0, 0;
75, 1, 4, 0, 44, 3, 0, 0;
76, 1, 1, 0, 45, 1, 0, 0;
77, 1, 1, 0, 45, 3, 0, 0;
78, 1, 2, 0, 46, 1, 0, 0;
79, 1, 2, 0, 46, 3, 0, 0;
80, 1, 3, 0, 47, 1, 0, 0;
81, 1, 3, 0, 47, 3, 0, 0;
82, 1, 6, 0, 48, 1, 0, 0;
83, 1, 5, 0, 48, 2, 0, 0;
84, 1, 6, 0, 48, 3, 0, 0;
85, 1, 1, 0, 49, 1, 0, 0;
86, 1, 1, 0, 49, 3, 0, 0;
87, 1, 2, 0, 50, 1, 0, 0;
88, 1, 2, 0, 50, 3, 0, 0;
89, 1, 3, 0, 51, 1, 0, 0;
90, 1, 3, 0, 51, 3, 0, 0;
91, 1, 4, 0, 52, 1, 0, 0;
92, 1, 4, 0, 52, 3, 0, 0;
93, 1, 5, 0, 53, 1, 0, 0;
94, 1, 5, 0, 53, 3, 0, 0;
95, 1, 6, 0, 54, 1, 0, 0;
96, 1, 6, 0, 54, 3, 0, 0;
97, 1, 1, 0, 55, 1, 0, 0;
98, 1, 1, 0, 55, 3, 0, 0;
99, 1, 2, 0, 56, 1, 0, 0;
100, 1, 2, 0, 56, 3, 0, 0;
101, 1, 3, 0, 57, 1, 0, 0;
102, 1, 3, 0, 57, 3, 0, 0;
103, 1, 4, 0, 58, 1, 0, 0;
104, 1, 4, 0, 58, 3, 0, 0;
105, 1, 5, 0, 59, 1, 0, 0;
106, 1, 5, 0, 59, 3, 0, 0;
107, 1, 6, 0, 60, 1, 0, 0;
108, 1, 6, 0, 60, 3, 0, 0;
109, 1, 3, 0, 61, 1, 0, 0;
110, 1, 4, 0, 61, 3, 0, 0;
111, 1, 3, 0, 62, 1, 0, 0;
112, 1, 4, 0, 62, 3, 0, 0;
113, 1, 3, 0, 63, 1, 0, 0;
114, 1, 4, 0, 63, 3, 0, 0;
115, 1, 3, 0, 64, 1, 0, 0;
116, 1, 4, 0, 64, 3, 0, 0;
117, 1, 1, 0, 65, 1, 0, 0;
118, 1, 1, 0, 65, 2, 0, 0;
119, 1, 1, 0, 65, 3, 0, 0;
120, 1, 1, 0, 65, 4, 0, 0;
121, 1, 1, 0, 66, 1, 0, 0;
122, 1, 1, 0, 66, 2, 0, 0;
123, 1, 1, 0, 66, 3, 0, 0;
124, 1, 1, 0, 66, 4, 0, 0;
125, 1, 5, 0, 67, 1, 0, 0;
126, 1, 6, 0, 67, 2, 0, 0;
127, 1, 5, 0, 67, 3, 0, 0;
128, 1, 6, 0, 67, 4, 0, 0;
129, 1, 5, 0, 68, 1, 0, 0;
130, 1, 6, 0, 68, 2, 0, 0;
131, 1, 5, 0, 68, 3, 0, 0;
132, 1, 6, 0, 68, 4, 0, 0;
133, 1, 2, 0, 69, 1, 0, 0;
134, 1, 2, 0, 69, 2, 0, 0;
135, 1, 2, 0, 69, 3, 0, 0;
136, 1, 2, 0, 69, 4, 0, 0;
137, 1, 2, 0, 70, 1, 0, 0;
138, 1, 2, 0, 70, 2, 0, 0;
139, 1, 2, 0, 70, 3, 0, 0;
140, 1, 2, 0, 70, 4, 0, 0;
141, 1, 6, 0, 71, 1, 0, 0;
142, 1, 5, 0, 71, 2, 0, 0;
143, 1, 6, 0, 71, 3, 0, 0;
144, 1, 5, 0, 71, 4, 0, 0;
145, 1, 6, 0, 72, 1, 0, 0;
146, 1, 5, 0, 72, 2, 0, 0;
147, 1, 6, 0, 72, 3, 0, 0;
148, 1, 5, 0, 72, 4, 0, 0;
149, 1, 3, 0, 73, 1, 0, 0;
150, 1, 3, 0, 73, 2, 0, 0;
151, 1, 3, 0, 73, 3, 0, 0;
152, 1, 3, 0, 73, 4, 0, 0;
153, 1, 3, 0, 74, 1, 0, 0;
154, 1, 3, 0, 74, 2, 0, 0;
155, 1, 3, 0, 74, 3, 0, 0;
156, 1, 3, 0, 74, 4, 0, 0;
157, 1, 5, 0, 75, 1, 0, 0;
158, 1, 6, 0, 75, 2, 0, 0;
159, 1, 5, 0, 75, 3, 0, 0;
160, 1, 6, 0, 75, 4, 0, 0;
161, 1, 5, 0, 76, 1, 0, 0;
162, 1, 6, 0, 76, 2, 0, 0;
163, 1, 5, 0, 76, 3, 0, 0;
164, 1, 6, 0, 76, 4, 0, 0;
165, 1, 4, 0, 77, 1, 0, 0;
166, 1, 4, 0, 77, 2, 0, 0;
167, 1, 4, 0, 77, 3, 0, 0;
168, 1, 4, 0, 77, 4, 0, 0;
169, 1, 4, 0, 78, 1, 0, 0;
170, 1, 4, 0, 78, 2, 0, 0;
171, 1, 4, 0, 78, 3, 0, 0;
172, 1, 4, 0, 78, 4, 0, 0;
173, 1, 6, 0, 79, 1, 0, 0;
174, 1, 5, 0, 79, 2, 0, 0;
175, 1, 6, 0, 79, 3, 0, 0;
176, 1, 5, 0, 79, 4, 0, 0;
177, 1, 6, 0, 80, 1, 0, 0;
178, 1, 5, 0, 80, 2, 0, 0;
179, 1, 6, 0, 80, 3, 0, 0;
180, 1, 1, 0, 81, 1, 0, 0;
181, 1, 1, 0, 81, 2, 0, 0;
182, 1, 1, 0, 81, 3, 0, 0;
183, 1, 1, 0, 81, 4, 0, 0;
184, 1, 3, 0, 82, 1, 0, 0;
185, 1, 3, 0, 82, 2, 0, 0;
186, 1, 3, 0, 82, 3, 0, 0;
187, 1, 3, 0, 82, 4, 0, 0;
188, 1, 2, 0, 83, 1, 0, 0;
189, 1, 2, 0, 83, 2, 0, 0;
190, 1, 2, 0, 83, 3, 0, 0;
191, 1, 2, 0, 83, 4, 0, 0;
192, 1, 4, 0, 84, 1, 0, 0;
